"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
0,0.1,5,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",0,"Seasonal",14.9624531617617,11.987254896557,19.9020875328119
0.5,0.1,5,1,"BSV","Children",0,"Seasonal",8.44222405999939,7.28760649372128,10.031586166054
0.75,0.1,5,1,"BSV","Children",0,"Seasonal",6.53612976891496,5.65369803198151,7.74496784001408
1,0.1,5,1,"BSV","Children",0,"Seasonal",5.79822617697839,4.84768184666606,7.21246188081672
0,0.1,50,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",0,"Seasonal",8.71864434027059,7.69258637313747,10.0605473433205
0.5,0.1,50,1,"BSV","Children",0,"Seasonal",5.56434414142953,5.18326200206567,6.00590864550867
0.75,0.1,50,1,"BSV","Children",0,"Seasonal",4.55662054136031,4.25701014589565,4.90159728580738
1,0.1,50,1,"BSV","Children",0,"Seasonal",4.1963976677956,3.80500730610212,4.67753823738951
0,0.3,5,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",0,"Seasonal",26.3156591045151,17.7693247710067,50.7006373214961
0.5,0.3,5,1,"BSV","Children",0,"Seasonal",12.6977080322358,10.31948608278,16.5003731297639
0.75,0.3,5,1,"BSV","Children",0,"Seasonal",9.27578773926703,7.66422923767629,11.7455197372502
1,0.3,5,1,"BSV","Children",0,"Seasonal",7.89650180331454,6.28969919588087,10.6059615249903
0,0.3,50,1,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",0,"Seasonal",12.2025425783849,10.7644222242107,14.0841806702242
0.5,0.3,50,1,"BSV","Children",0,"Seasonal",7.39254714916494,7.03496342870554,7.78842916108728
0.75,0.3,50,1,"BSV","Children",0,"Seasonal",5.88675834612179,5.55038402150291,6.26653408072671
1,0.3,50,1,"BSV","Children",0,"Seasonal",5.28774698227504,4.80182327694739,5.88309021578264
0,0.1,5,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"BSV","Children",0,"Seasonal",10.496670839672,8.84341880974708,12.9101951576115
0.5,0.1,5,1.5,"BSV","Children",0,"Seasonal",7.04941224983478,6.23628586374719,8.10637233562292
0.75,0.1,5,1.5,"BSV","Children",0,"Seasonal",5.9296914218109,5.2312024900589,6.84345395578996
1,0.1,5,1.5,"BSV","Children",0,"Seasonal",5.57409959770228,4.70062890099795,6.84627398904104
0,0.1,50,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"BSV","Children",0,"Seasonal",7.46597760811235,6.51084795935919,8.74951578837287
0.5,0.1,50,1.5,"BSV","Children",0,"Seasonal",5.16465417695398,4.7034211930317,5.72618250609505
0.75,0.1,50,1.5,"BSV","Children",0,"Seasonal",4.44102453611264,4.05606039688845,4.90672607805637
1,0.1,50,1.5,"BSV","Children",0,"Seasonal",4.25817447956416,3.77053513142426,4.89068113361433
0,0.3,5,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"BSV","Children",0,"Seasonal",15.0429816870574,10.5763292661429,26.0405798043363
0.5,0.3,5,1.5,"BSV","Children",0,"Seasonal",9.59495079560404,7.72428559001268,12.6612481336526
0.75,0.3,5,1.5,"BSV","Children",0,"Seasonal",7.89228189289665,6.50571115390088,10.029985931007
1,0.3,5,1.5,"BSV","Children",0,"Seasonal",7.29161089274963,5.7877022173024,9.8514720934467
0,0.3,50,1.5,"BSV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",0,"Seasonal",9.59890688398143,7.89781780394984,12.2339416592743
0.5,0.3,50,1.5,"BSV","Children",0,"Seasonal",6.46400908989767,5.7587975651092,7.36604057212886
0.75,0.3,50,1.5,"BSV","Children",0,"Seasonal",5.48029519912214,4.93761181605251,6.15699908275313
1,0.3,50,1.5,"BSV","Children",0,"Seasonal",5.18878271292223,4.54432017558072,6.04624377511459
0,0.1,5,1,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"AIV","Children",0,"Seasonal",27.7845550076143,22.475591946052,36.3772249610402
0.5,0.1,5,1,"AIV","Children",0,"Seasonal",14.8465478468705,13.8128332284855,16.0474987113325
0.75,0.1,5,1,"AIV","Children",0,"Seasonal",10.6271724338534,9.91975734056807,11.443232234592
1,0.1,5,1,"AIV","Children",0,"Seasonal",8.28688081806786,7.71638250328511,8.94847166068464
0,0.1,50,1,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"AIV","Children",0,"Seasonal",19.0951059749018,16.8806152032215,21.9783445675553
0.5,0.1,50,1,"AIV","Children",0,"Seasonal",10.6372888005063,10.003336929201,11.357029647854
0.75,0.1,50,1,"AIV","Children",0,"Seasonal",7.84487428202771,7.47820774690865,8.24935100314509
1,0.1,50,1,"AIV","Children",0,"Seasonal",6.37891521796065,6.11928263039311,6.66155569167645
0,0.3,5,1,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"AIV","Children",0,"Seasonal",38.1403285145341,28.0628060562795,59.5111351006829
0.5,0.3,5,1,"AIV","Children",0,"Seasonal",19.1315480116677,16.4553369541472,22.8473178449953
0.75,0.3,5,1,"AIV","Children",0,"Seasonal",13.4575874564083,11.9977293682327,15.3219267877066
1,0.3,5,1,"AIV","Children",0,"Seasonal",10.1808113974265,9.01517076837494,11.6926429581591
0,0.3,50,1,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"AIV","Children",0,"Seasonal",23.9122055199948,21.0070896554574,27.7497830358269
0.5,0.3,50,1,"AIV","Children",0,"Seasonal",12.9326615270883,12.0712125512955,13.9265119282806
0.75,0.3,50,1,"AIV","Children",0,"Seasonal",9.46872571670069,8.9847755253823,10.0077782724304
1,0.3,50,1,"AIV","Children",0,"Seasonal",7.56009300127082,7.10966964219435,8.07144854209164
0,0.1,5,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"AIV","Children",0,"Seasonal",20.3331775567774,16.4168701963536,26.7033685611
0.5,0.1,5,1.5,"AIV","Children",0,"Seasonal",12.2652137020541,10.766641457821,14.2484001025761
0.75,0.1,5,1.5,"AIV","Children",0,"Seasonal",9.33442335386885,8.37316291032114,10.545018335876
1,0.1,5,1.5,"AIV","Children",0,"Seasonal",7.72185883078281,6.95732386679197,8.67516616222834
0,0.1,50,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"AIV","Children",0,"Seasonal",15.4176157743272,13.4927617739275,17.9830459265067
0.5,0.1,50,1.5,"AIV","Children",0,"Seasonal",9.14423925855778,8.42570984205944,9.9967436163099
0.75,0.1,50,1.5,"AIV","Children",0,"Seasonal",6.99312856377519,6.57437763921777,7.46885251315885
1,0.1,50,1.5,"AIV","Children",0,"Seasonal",5.93595951099144,5.59891852302599,6.31617772108409
0,0.3,5,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"AIV","Children",0,"Seasonal",25.9616681479425,20.3158750329853,35.9530375282547
0.5,0.3,5,1.5,"AIV","Children",0,"Seasonal",15.1892331971724,12.8062582302458,18.6618014428277
0.75,0.3,5,1.5,"AIV","Children",0,"Seasonal",11.485001576576,9.9017766233872,13.6708798164853
1,0.3,5,1.5,"AIV","Children",0,"Seasonal",9.33975029094807,8.02285350727141,11.1738639939514
0,0.3,50,1.5,"AIV","Children",0,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"AIV","Children",0,"Seasonal",18.8719647550194,16.1200392874779,22.7568987951854
0.5,0.3,50,1.5,"AIV","Children",0,"Seasonal",10.9055636753586,9.987703869322,12.0091966033275
0.75,0.3,50,1.5,"AIV","Children",0,"Seasonal",8.29723857314995,7.73759960517362,8.94414349041403
1,0.3,50,1.5,"AIV","Children",0,"Seasonal",6.96296329700971,6.41995693868971,7.60631281838466
0,0.1,5,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1,"AIV","Children",0,"Perenial",38.3086898170614,30.8821485688479,50.4380310531395
0.5,0.1,5,1,"AIV","Children",0,"Perenial",20.350628755696,18.92897585843,22.0031675473718
0.75,0.1,5,1,"AIV","Children",0,"Perenial",16.4999296687048,15.5991461054155,17.5111215887844
1,0.1,5,1,"AIV","Children",0,"Perenial",13.9908655497343,12.7178801575484,15.54703254244
0,0.1,50,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1,"AIV","Children",0,"Perenial",22.4506434218203,21.0019451467917,24.1140095426379
0.5,0.1,50,1,"AIV","Children",0,"Perenial",12.6911748099385,12.2689550883874,13.1434905010114
0.75,0.1,50,1,"AIV","Children",0,"Perenial",9.67260289166138,9.33504650375578,10.0354873018374
1,0.1,50,1,"AIV","Children",0,"Perenial",8.08349259879481,7.81113176574259,8.37553314463927
0,0.3,5,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1,"AIV","Children",0,"Perenial",58.5687712746541,45.4070106381105,82.4751806917315
0.5,0.3,5,1,"AIV","Children",0,"Perenial",28.6653437895938,25.8336546070321,32.194231100982
0.75,0.3,5,1,"AIV","Children",0,"Perenial",21.9622057940952,20.4618586371444,23.699985667707
1,0.3,5,1,"AIV","Children",0,"Perenial",17.5699367297064,15.9836758276893,19.505735887342
0,0.3,50,1,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1,"AIV","Children",0,"Perenial",30.2456415999026,27.8934831487787,33.0310312514192
0.5,0.3,50,1,"AIV","Children",0,"Perenial",16.3400067945242,15.7578595959021,16.9668168533788
0.75,0.3,50,1,"AIV","Children",0,"Perenial",11.9439351951676,11.5084418561682,12.4136839897971
1,0.3,50,1,"AIV","Children",0,"Perenial",9.58273423653874,9.25190768107088,9.93809732704351
0,0.1,5,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1.5,"AIV","Children",0,"Perenial",29.0113914980244,24.6828505064998,35.1809447922777
0.5,0.1,5,1.5,"AIV","Children",0,"Perenial",16.3265293071953,15.5169933033988,17.2251831684289
0.75,0.1,5,1.5,"AIV","Children",0,"Perenial",13.3078866233213,12.7986591107285,13.8593150558688
1,0.1,5,1.5,"AIV","Children",0,"Perenial",11.463526586882,10.6601557757863,12.3978538229038
0,0.1,50,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1.5,"AIV","Children",0,"Perenial",17.7700044589689,16.7730093329498,18.893013579178
0.5,0.1,50,1.5,"AIV","Children",0,"Perenial",10.5463069228747,10.2444540034334,10.8664880814168
0.75,0.1,50,1.5,"AIV","Children",0,"Perenial",8.22031281244058,7.96169387604992,8.49629721775989
1,0.1,50,1.5,"AIV","Children",0,"Perenial",6.99967397737044,6.79183879252738,7.22063049890546
0,0.3,5,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1.5,"AIV","Children",0,"Perenial",41.1556900540729,34.2613872684391,51.5236117361485
0.5,0.3,5,1.5,"AIV","Children",0,"Perenial",21.709197773944,20.2128334401122,23.4448279871304
0.75,0.3,5,1.5,"AIV","Children",0,"Perenial",16.9608483864709,16.1903904329385,17.808298305948
1,0.3,5,1.5,"AIV","Children",0,"Perenial",14.0517683287825,13.0696273534572,15.1935125276793
0,0.3,50,1.5,"AIV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1.5,"AIV","Children",0,"Perenial",23.0230540550137,21.4897112203507,24.7920249561839
0.5,0.3,50,1.5,"AIV","Children",0,"Perenial",13.1392366567564,12.7583779292748,13.5435335818178
0.75,0.3,50,1.5,"AIV","Children",0,"Perenial",9.92546934709065,9.640480597618,10.2278208581678
1,0.3,50,1.5,"AIV","Children",0,"Perenial",8.19947445360993,7.95584336799474,8.45849829650533
0,0.1,5,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",0,"Perenial",17.3623873489894,14.5562857895812,21.5087582705568
0.5,0.1,5,1,"BSV","Children",0,"Perenial",11.8111052444621,10.7900273769877,13.0456349289269
0.75,0.1,5,1,"BSV","Children",0,"Perenial",10.3685932508725,9.58437739810813,11.2925780159594
1,0.1,5,1,"BSV","Children",0,"Perenial",8.59417126721499,7.6516404819317,9.80152535137817
0,0.1,50,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",0,"Perenial",10.0703992665728,9.2541198087718,11.0446130121803
0.5,0.1,50,1,"BSV","Children",0,"Perenial",6.59721026563352,6.35915649185908,6.85378017998532
0.75,0.1,50,1,"BSV","Children",0,"Perenial",5.63128041597255,5.35233058843143,5.94090525489268
1,0.1,50,1,"BSV","Children",0,"Perenial",5.14785358027228,4.77438861514003,5.58470345787898
0,0.3,5,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",0,"Perenial",36.2470888550433,27.4085991383067,53.4989808516954
0.5,0.3,5,1,"BSV","Children",0,"Perenial",19.7476964992013,16.7912256025124,23.9677561401547
0.75,0.3,5,1,"BSV","Children",0,"Perenial",15.2566081144045,13.3115340614649,17.8673798548531
1,0.3,5,1,"BSV","Children",0,"Perenial",13.0121503718911,11.5332923647671,14.9260444889424
0,0.3,50,1,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",0,"Perenial",14.8823285102494,13.684577216795,16.3098592800541
0.5,0.3,50,1,"BSV","Children",0,"Perenial",8.90148606695004,8.53440270469523,9.30156683978585
0.75,0.3,50,1,"BSV","Children",0,"Perenial",7.22760310261962,6.77895180570177,7.73984948035449
1,0.3,50,1,"BSV","Children",0,"Perenial",6.80797596757459,6.2578857992241,7.46409627886821
0,0.1,5,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,5,1.5,"BSV","Children",0,"Perenial",14.7712437186622,12.8044228433307,17.4519465702948
0.5,0.1,5,1.5,"BSV","Children",0,"Perenial",10.151079878552,9.48224415010518,10.9214293937757
0.75,0.1,5,1.5,"BSV","Children",0,"Perenial",8.90116540666971,8.2954541394844,9.60229888634976
1,0.1,5,1.5,"BSV","Children",0,"Perenial",7.63532015707997,6.95648537196043,8.46096676586304
0,0.1,50,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.1,50,1.5,"BSV","Children",0,"Perenial",8.78890772662244,8.18851136000522,9.48431472430186
0.5,0.1,50,1.5,"BSV","Children",0,"Perenial",5.93925785603436,5.75189480289425,6.13923829200584
0.75,0.1,50,1.5,"BSV","Children",0,"Perenial",5.1313040239263,4.91231323208691,5.37073107068788
1,0.1,50,1.5,"BSV","Children",0,"Perenial",4.77230247844777,4.48637249617813,5.09715976634771
0,0.3,5,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1.5,"BSV","Children",0,"Perenial",25.5703050213695,20.9963292580498,32.6921804252795
0.5,0.3,5,1.5,"BSV","Children",0,"Perenial",14.9397987241913,13.3975173262286,16.8833596791184
0.75,0.3,5,1.5,"BSV","Children",0,"Perenial",11.9001816877042,10.7673505409572,13.2994104313696
1,0.3,5,1.5,"BSV","Children",0,"Perenial",10.6940289355438,9.6572422498507,11.9802053718436
0,0.3,50,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",0,"Perenial",11.9404796461987,11.1436718054348,12.8600111909313
0.5,0.3,50,1.5,"BSV","Children",0,"Perenial",7.53808638097472,7.26467967406821,7.83287724144885
0.75,0.3,50,1.5,"BSV","Children",0,"Perenial",6.27895433292508,5.96523097019854,6.62750817104206
1,0.3,50,1.5,"BSV","Children",0,"Perenial",6.06131520633096,5.63317614436327,6.55988721756717
0,0.1,5,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",1,"Seasonal",16.1450038770651,12.7710631641544,21.9417024061687
0.5,0.1,5,1,"BSV","Children",1,"Seasonal",9.16306615256662,7.89963371098887,10.9075754842589
0.75,0.1,5,1,"BSV","Children",1,"Seasonal",7.54917469563144,6.50891735609265,8.98519089719078
1,0.1,5,1,"BSV","Children",1,"Seasonal",6.76679030781311,5.84151037779236,8.04036267774065
0,0.1,50,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",1,"Seasonal",8.72994487433819,7.78875813277756,9.92986056719555
0.5,0.1,50,1,"BSV","Children",1,"Seasonal",5.48078045218377,5.14881734987065,5.85849935097057
0.75,0.1,50,1,"BSV","Children",1,"Seasonal",4.62414666303224,4.32560130915309,4.9669572713865
1,0.1,50,1,"BSV","Children",1,"Seasonal",4.28386952500946,3.94890685186419,4.68092501799478
0,0.3,5,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",1,"Seasonal",28.7495321610966,19.1267214157752,57.8587395806102
0.5,0.3,5,1,"BSV","Children",1,"Seasonal",14.7436845401728,11.7200290996443,19.8699387377025
0.75,0.3,5,1,"BSV","Children",1,"Seasonal",11.6338920804628,9.76963358478972,14.3774155571167
1,0.3,5,1,"BSV","Children",1,"Seasonal",9.89506223903866,8.07320940820858,12.778811858548
0,0.3,50,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",1,"Seasonal",11.9509326266198,10.6810925238476,13.5634463321097
0.5,0.3,50,1,"BSV","Children",1,"Seasonal",7.23406222079305,6.67080123896197,7.90121541464285
0.75,0.3,50,1,"BSV","Children",1,"Seasonal",5.93846983680666,5.55201556074105,6.38274819016373
1,0.3,50,1,"BSV","Children",1,"Seasonal",5.36970242657502,4.86363288427096,5.99331765280815
