"Degree_resistance","half_life_TBV","Efficacy_TBV","Indicator_10","Prevalance_a"
0,0,0,0,1.38748136612525e-06
0.25,0,0,0.212316831753706,0.0960701173829396
0.5,0,0,0.376747768019319,0.139958638437636
0.75,0,0,0.600403217155495,0.173413023511757
1,0,0,NA,0.209985723403962
0,1,0.75,0,2.77496273225051e-07
0.25,1,0.75,0,5.54992546450101e-07
0.5,1,0.75,0,2.77496273225051e-07
0.75,1,0.75,0.446788150747782,0.126869498916709
1,1,0.75,0.537134558442808,0.156308393147984
0,2.5,0.75,0,0
0.25,2.5,0.75,0,5.54992546450101e-07
0.5,2.5,0.75,0,8.32488819675152e-07
0.75,2.5,0.75,0,1.6649776393503e-06
1,2.5,0.75,0.437052423592473,0.129500007457166
0,5,0.75,0,5.54992546450101e-07
0.25,5,0.75,0,5.54992546450101e-07
0.5,5,0.75,0,5.54992546450101e-07
0.75,5,0.75,0,0
1,5,0.75,0,2.77496273225051e-07
0,0,0,0,1.38748136612525e-06
0.25,0,0,0.212316831753706,0.0960701173829396
0.5,0,0,0.376747768019319,0.139958638437636
0.75,0,0,0.600403217155495,0.173413023511757
1,0,0,NA,0.209985723403962
0,1,0.85,0,8.32488819675152e-07
0.25,1,0.85,0,1.60947838470529e-05
0.5,1,0.85,0,5.54992546450101e-06
0.75,1,0.85,0.441334827754739,0.099226605827791
1,1,0.85,0.523873247728298,0.148044289274486
0,2.5,0.85,0,8.32488819675152e-07
0.25,2.5,0.85,0,5.54992546450101e-07
0.5,2.5,0.85,0,1.1099850929002e-06
0.75,2.5,0.85,0,2.49746645902546e-06
1,2.5,0.85,0,0
0,5,0.85,0,1.6649776393503e-06
0.25,5,0.85,0,2.49746645902546e-06
0.5,5,0.85,0,0
0.75,5,0.85,0,9.71236956287677e-06
1,5,0.85,0,1.6649776393503e-06
0,0,0,0,1.38748136612525e-06
0.25,0,0,0.212316831753706,0.0960701173829396
0.5,0,0,0.376747768019319,0.139958638437636
0.75,0,0,0.600403217155495,0.173413023511757
1,0,0,NA,0.209985723403962
0,1,0.95,0,0
0.25,1,0.95,0,3.32995527870061e-06
0.5,1,0.95,0,2.77496273225051e-07
0.75,1,0.95,0,3.08020863279806e-05
1,1,0.95,0.471566553404915,0.140435398652017
0,2.5,0.95,0,8.32488819675152e-07
0.25,2.5,0.95,0,8.32488819675152e-06
0.5,2.5,0.95,0,0
0.75,2.5,0.95,0,5.27242919127596e-06
1,2.5,0.95,0,0
0,5,0.95,0,1.1099850929002e-05
0.25,5,0.95,0,8.32488819675152e-07
0.5,5,0.95,0,0
0.75,5,0.95,0,2.49746645902546e-06
1,5,0.95,0,0
0,0,0,0,4.07919521640824e-05
0.25,0,0,0.25004888422345,0.0958589753124677
0.5,0,0,0.402243967294122,0.137946986509005
0.75,0,0,0.53825226477757,0.174740679372531
1,0,0,NA,0.204289677465673
0,1,0.75,0,9.43487328965172e-05
0.25,1,0.75,0,1.27648285683523e-05
0.5,1,0.75,0,0.00181787808589731
0.75,1,0.75,0.526705460103765,0.127230598252151
1,1,0.75,0.570418167909468,0.150184085545067
0,2.5,0.75,0,2.58071534099297e-05
0.25,2.5,0.75,0,0
0.5,2.5,0.75,0,1.44298062077026e-05
0.75,2.5,0.75,0,4.71743664482586e-06
1,2.5,0.75,0.522642517666504,0.123345483020055
0,5,0.75,0,2.2199701858004e-06
0.25,5,0.75,0,4.10694484373075e-05
0.5,5,0.75,0,0.000177597614864032
0.75,5,0.75,0,6.93740683062626e-06
1,5,0.75,0,1.94247391257535e-06
0,0,0,0,4.07919521640824e-05
0.25,0,0,0.25004888422345,0.0958589753124677
0.5,0,0,0.402243967294122,0.137946986509005
0.75,0,0,0.53825226477757,0.174740679372531
1,0,0,NA,0.204289677465673
0,1,0.85,0,1.6649776393503e-05
0.25,1,0.85,0,1.58172875738279e-05
0.5,1,0.85,0,0.00118629656803709
0.75,1,0.85,0.339849404802471,0.111717365534384
1,1,0.85,0.5567702981563,0.143788878848093
0,2.5,0.85,0,4.16244409837576e-06
0.25,2.5,0.85,0,1.13773472022271e-05
0.5,2.5,0.85,0,1.83147540328533e-05
0.75,2.5,0.85,0,1.94247391257535e-06
1,2.5,0.85,0,0.00317400237314813
0,5,0.85,0,5.82742173772606e-06
0.25,5,0.85,0,9.15737701642667e-06
0.5,5,0.85,0,7.21490310385131e-06
0.75,5,0.85,0,7.21490310385131e-06
1,5,0.85,0,6.10491801095111e-06
0,0,0,0,4.07919521640824e-05
0.25,0,0,0.25004888422345,0.0958589753124677
0.5,0,0,0.402243967294122,0.137946986509005
0.75,0,0,0.53825226477757,0.174740679372531
1,0,0,NA,0.204289677465673
0,1,0.95,0,0
0.25,1,0.95,0,5.82742173772606e-06
0.5,1,0.95,0,0.000104061102459394
0.75,1,0.95,0,2.05347242186537e-05
1,1,0.95,0.407524768357997,0.139040416826929
0,2.5,0.95,0,0
0.25,2.5,0.95,0,3.60745155192566e-06
0.5,2.5,0.95,0,5.82742173772606e-05
0.75,2.5,0.95,0,2.49746645902546e-06
1,2.5,0.95,0,2.49746645902546e-06
0,5,0.95,0,0
0.25,5,0.95,0,2.49746645902546e-06
0.5,5,0.95,0,5.27242919127596e-06
0.75,5,0.95,0,2.49746645902546e-06
1,5,0.95,0,1.74822652131782e-05
0,0,0,0,0.00146934276672664
0.25,0,0,0.229649507322817,0.0950078628203519
0.5,0,0,0.366997830482181,0.138385013737607
0.75,0,0,0.602939956427102,0.177659673654892
1,0,0,NA,0.208264447578991
0,1,0.75,0,1.6649776393503e-06
0.25,1,0.75,0,0
0.5,1,0.75,0,0
0.75,1,0.75,0.505134872173635,0.127611811988453
1,1,0.75,NA,0.159651192540849
0,2.5,0.75,0,0
0.25,2.5,0.75,0,2.77496273225051e-07
0.5,2.5,0.75,0,0
0.75,2.5,0.75,0,0.00148627003939337
1,2.5,0.75,0.579275694955632,0.129962855040489
0,5,0.75,0,0
0.25,5,0.75,0,8.04739192352647e-06
0.5,5,0.75,0,6.10491801095111e-06
0.75,5,0.75,0,3.44095378799063e-05
1,5,0.75,0,5.82742173772606e-06
0,0,0,0,0.00146934276672664
0.25,0,0,0.229649507322817,0.0950078628203519
0.5,0,0,0.366997830482181,0.138385013737607
0.75,0,0,0.602939956427102,0.177659673654892
1,0,0,NA,0.208264447578991
0,1,0.85,0,9.15737701642667e-06
0.25,1,0.85,0,2.77496273225051e-07
0.5,1,0.85,0,0
0.75,1,0.85,0.316629925362586,0.118288340406011
1,1,0.85,NA,0.151441614852822
0,2.5,0.85,0,6.10491801095111e-06
0.25,2.5,0.85,0,2.77496273225051e-07
0.5,2.5,0.85,0,2.77496273225051e-07
0.75,2.5,0.85,0,0.000761172277456314
1,2.5,0.85,0,2.77496273225051e-07
0,5,0.85,0,0
0.25,5,0.85,0,0
0.5,5,0.85,0,6.93740683062626e-06
0.75,5,0.85,0,5.54992546450101e-07
1,5,0.85,0,2.2199701858004e-06
0,0,0,0,0.00146934276672664
0.25,0,0,0.229649507322817,0.0950078628203519
0.5,0,0,0.366997830482181,0.138385013737607
0.75,0,0,0.602939956427102,0.177659673654892
1,0,0,NA,0.208264447578991
0,1,0.95,0,0
0.25,1,0.95,0,3.32995527870061e-06
0.5,1,0.95,0,8.32488819675152e-07
0.75,1,0.95,0,0.000203959760820412
1,1,0.95,0.544990228068978,0.139383730433474
0,2.5,0.95,0,0
0.25,2.5,0.95,0,9.15737701642667e-06
0.5,2.5,0.95,0,0
0.75,2.5,0.95,0,5.54992546450101e-07
1,2.5,0.95,0,6.38241428417616e-06
0,5,0.95,0,1.94247391257535e-06
0.25,5,0.95,0,0
0.5,5,0.95,0,0
0.75,5,0.95,0,2.77496273225051e-07
1,5,0.95,0,2.2199701858004e-06
