"Survey","nEPIVaccinations_2","nMassVaccinations_4","nMassVaccinations_7","simulatedEIR"
1,0,0,0,0
2,0,0,0,0.289902
3,0,0,0,0.248706
4,0,0,0,0.21623
5,0,0,0,0.190373
6,0,0,0,0.169694
7,0,0,0,0.153081
8,0,0,0,0.139713
9,0,0,0,0.129083
10,0,0,0,0.120609
11,0,0,0,0.113923
12,0,0,0,0.108545
13,0,0,0,0.10421
14,0,0,0,0.100839
15,0,0,0,0.0983688
16,0,0,0,0.0965332
17,0,0,0,0.0950282
18,0,0,0,0.0939463
19,0,0,0,0.093673
20,0,0,0,0.0949621
21,0,0,0,0.0979747
22,0,0,0,0.102906
23,0,0,0,0.110065
24,0,0,0,0.119818
25,0,0,0,0.133032
26,0,0,0,0.150939
27,0,0,0,0.175115
28,0,0,0,0.207472
29,0,0,0,0.249095
30,0,0,0,0.303204
31,0,0,0,0.375555
32,0,0,0,0.471051
33,0,0,0,0.598272
34,0,0,0,0.77189
35,0,0,0,1.00673
36,0,0,0,1.31775
37,0,0,0,1.72854
38,0,0,0,2.26057
39,0,0,0,2.93281
40,0,0,0,3.7544
41,0,0,0,4.72773
42,0,0,0,5.84721
43,0,0,0,7.07628
44,0,0,0,8.33425
45,0,0,0,9.53659
46,0,0,0,10.6191
47,0,0,0,11.5227
48,0,0,0,12.1819
49,0,0,0,12.5735
50,0,0,0,12.6939
51,0,0,0,12.5342
52,0,0,0,12.1414
53,0,0,0,11.5611
54,0,0,0,10.8196
55,0,0,0,9.96056
56,0,0,0,9.01359
57,0,0,0,8.01677
58,0,0,0,7.0102
59,0,0,0,6.03473
60,0,0,0,5.12328
61,0,0,0,4.29667
62,0,0,0,3.56991
63,0,0,0,2.94389
64,0,0,0,2.41184
65,0,0,0,1.96732
66,0,0,0,1.60111
67,0,0,0,1.30259
68,0,0,0,1.06155
69,0,0,0,0.868092
70,0,0,0,0.713386
71,0,0,0,0.590224
72,0,0,0,0.492287
73,0,0,0,0.414573
74,0,0,0,0.352717
75,0,0,0,0.303553
76,0,0,0,0.264336
77,0,0,0,0.232928
78,0,0,0,0.207683
79,0,0,0,0.187008
80,0,0,0,0.169888
81,0,0,0,0.155598
82,0,0,0,0.143937
83,0,0,0,0.134591
84,0,0,0,0.12685
85,0,0,0,0.120109
86,0,0,0,0.114073
87,0,0,0,0.10874
88,0,0,0,0.104346
89,0,0,0,0.101073
90,0,0,0,0.0990113
91,0,0,0,0.0980469
92,0,0,0,0.0982406
93,0,0,0,0.0997708
94,0,0,0,0.103035
95,0,0,0,0.108345
96,0,0,0,0.116007
97,0,0,0,0.126533
98,0,0,0,0.140757
99,0,0,0,0.159485
100,0,0,0,0.184319
101,0,0,0,0.217098
102,0,0,0,0.260255
103,0,0,0,0.317922
104,0,0,0,0.395463
105,0,0,0,0.49816
106,0,0,0,0.633646
107,0,0,0,0.814465
108,0,0,0,1.05694
109,0,0,0,1.37978
110,0,0,0,1.80663
111,0,0,0,2.36112
112,0,0,0,3.06269
113,0,0,0,3.92789
114,0,0,0,4.9486
115,0,0,0,6.09234
116,0,0,0,7.31055
117,0,0,0,8.5564
118,0,0,0,9.7688
119,0,0,0,10.878
120,0,0,0,11.7964
121,0,0,0,12.4669
122,0,0,0,12.862
123,0,0,0,12.9873
124,0,0,0,12.8447
125,0,0,0,12.4542
126,0,0,0,11.8575
127,0,0,0,11.0854
128,0,0,0,10.1722
129,0,0,0,9.17274
130,0,0,0,8.14103
131,0,0,0,7.12193
132,0,0,0,6.13864
133,0,0,0,5.21166
134,0,0,0,4.36762
135,0,0,0,3.62304
136,0,0,0,2.9829
137,0,0,0,2.44266
138,0,0,0,1.99331
139,0,0,0,1.62307
140,0,0,0,1.31984
141,0,0,0,1.07397
142,0,0,0,0.876536
143,0,0,0,0.71935
144,0,0,0,0.594596
145,0,0,0,0.495325
146,0,0,0,0.416724
147,0,0,0,0.35458
148,0,0,0,0.305361
149,0,0,0,0.265891
150,0,0,0,0.234134
151,0,0,0,0.208726
152,0,0,0,0.188237
153,0,0,0,0.171575
154,0,0,0,0.157885
155,0,0,0,0.146318
156,0,0,0,0.13629
157,0,0,0,0.127702
158,0,0,0,0.120313
159,0,0,0,0.113927
160,0,0,0,0.108632
161,0,0,0,0.104606
162,0,0,0,0.1019
163,0,0,0,0.100502
164,0,0,0,0.100322
165,0,0,0,0.101212
166,0,0,0,0.103276
167,0,0,0,0.106542
168,0,0,0,0.111329
169,0,0,0,0.118247
170,0,0,0,0.128359
171,0,0,0,0.142245
172,0,0,0,0.160621
173,0,0,0,0.185447
174,0,0,0,0.218977
175,0,0,0,0.263867
176,0,0,0,0.323891
177,0,0,0,0.402957
178,0,0,0,0.507103
179,0,0,0,0.644063
180,0,0,0,0.826069
181,0,0,0,1.06846
182,0,0,0,1.38794
183,0,0,0,1.80939
184,0,0,0,2.35958
185,0,0,0,3.05799
186,0,0,0,3.92371
187,0,0,0,4.95076
188,0,0,0,6.10522
189,0,0,0,7.34631
190,0,0,0,8.62688
191,0,0,0,9.8633
192,0,0,0,10.9576
193,0,0,0,11.8489
194,0,0,0,12.4791
195,0,0,0,12.852
196,0,0,0,12.9783
197,0,0,0,12.8548
198,0,0,0,12.4864
199,0,0,0,11.8949
200,0,0,0,11.1296
201,0,0,0,10.2345
202,0,0,0,9.25342
203,0,0,0,8.22155
204,0,0,0,7.18476
205,0,0,0,6.18334
206,0,0,0,5.24823
207,0,0,0,4.40017
208,0,0,0,3.65349
209,0,0,0,3.00768
210,0,0,0,2.45958
211,0,0,0,2.00414
212,0,0,0,1.63101
213,0,0,0,1.32817
214,0,0,0,1.08339
215,0,0,0,0.885888
216,0,0,0,0.727654
217,0,0,0,0.601284
218,0,0,0,0.50045
219,0,0,0,0.420365
220,0,0,0,0.357247
221,0,0,0,0.307391
222,0,0,0,0.267906
223,0,0,0,0.236439
224,0,0,0,0.211043
225,0,0,0,0.190193
226,0,0,0,0.172872
227,0,0,0,0.158433
228,0,0,0,0.146481
229,0,0,0,0.136526
230,0,0,0,0.128186
231,0,0,0,0.121245
232,0,0,0,0.11552
233,0,0,0,0.110841
234,0,0,0,0.107227
235,0,0,0,0.104559
236,0,0,0,0.102638
237,0,0,0,0.101508
238,0,0,0,0.101434
239,0,0,0,0.102681
240,0,0,0,0.105384
241,0,0,0,0.109973
242,0,0,0,0.11682
243,0,0,0,0.126386
244,0,0,0,0.139567
245,0,0,0,0.1581
246,0,0,0,0.183428
247,0,0,0,0.21741
248,0,0,0,0.262588
249,0,0,0,0.320894
250,0,0,0,0.398056
251,0,0,0,0.501787
252,0,0,0,0.643119
253,0,0,0,0.833365
254,0,0,0,1.08517
255,0,0,0,1.41364
256,0,0,0,1.8348
257,0,0,0,2.37398
258,0,0,0,3.05167
259,0,0,0,3.89347
260,0,0,0,4.91369
261,0,0,0,6.08388
262,0,0,0,7.34796
263,0,0,0,8.63862
264,0,0,0,9.88388
265,0,0,0,11.0009
266,0,0,0,11.9106
267,0,0,0,12.5517
268,0,0,0,12.9171
269,0,0,0,13.0212
270,0,0,0,12.8652
271,0,0,0,12.473
272,0,0,0,11.8836
273,0,0,0,11.1317
274,0,0,0,10.2544
275,0,0,0,9.28944
276,0,0,0,8.26683
277,0,0,0,7.22579
278,0,0,0,6.21342
279,0,0,0,5.26688
280,0,0,0,4.41079
281,0,0,0,3.65503
282,0,0,0,3.00226
283,0,0,0,2.45182
284,0,0,0,1.99552
285,0,0,0,1.6217
286,0,0,0,1.31841
287,0,0,0,1.07482
288,0,0,0,0.879432
289,0,0,0,0.722492
290,0,0,0,0.596915
291,0,0,0,0.496723
292,0,0,0,0.417216
293,0,0,0,0.354627
294,0,0,0,0.305321
295,0,0,0,0.266159
296,0,0,0,0.23475
297,0,0,0,0.209426
298,0,0,0,0.188962
299,0,0,0,0.172295
300,0,0,0,0.158545
301,0,0,0,0.146936
302,0,0,0,0.137147
303,0,0,0,0.128996
304,0,0,0,0.122047
305,0,0,0,0.11613
306,0,0,0,0.11101
307,0,0,0,0.106603
308,0,0,0,0.10298
309,0,0,0,0.10044
310,0,0,0,0.0992172
311,0,0,0,0.0992399
312,0,0,0,0.100656
313,0,0,0,0.10368
314,0,0,0,0.108684
315,0,0,0,0.116344
316,0,0,0,0.127413
317,0,0,0,0.142321
318,0,0,0,0.161815
319,0,0,0,0.187426
320,0,0,0,0.221399
321,0,0,0,0.265708
322,0,0,0,0.323849
323,0,0,0,0.401448
324,0,0,0,0.504906
325,0,0,0,0.641464
326,0,0,0,0.82213
327,0,0,0,1.06273
328,0,0,0,1.38721
329,0,0,0,1.82408
330,0,0,0,2.39544
331,0,0,0,3.11736
332,0,0,0,3.99806
333,0,0,0,5.03367
334,0,0,0,6.1987
335,0,0,0,7.45236
336,0,0,0,8.73706
337,0,0,0,9.97772
338,0,0,0,11.1031
339,0,0,0,12.0384
340,0,0,0,12.7103
341,0,0,0,13.0868
342,0,0,0,13.1806
343,0,0,0,13.0137
344,0,0,0,12.6097
345,0,0,0,12.0003
346,0,0,0,11.2201
347,0,0,0,10.3102
348,0,0,0,9.31273
349,0,0,0,8.26892
350,0,0,0,7.22081
351,0,0,0,6.21207
352,0,0,0,5.27392
353,0,0,0,4.42511
354,0,0,0,3.67678
355,0,0,0,3.02922
356,0,0,0,2.47959
357,0,0,0,2.02169
358,0,0,0,1.64554
359,0,0,0,1.33905
360,0,0,0,1.09142
361,0,0,0,0.892612
362,0,0,0,0.733554
363,0,0,0,0.606757
364,0,0,0,0.505821
365,0,0,0,0.425391
366,0,0,0,0.361607
367,0,0,0,0.311233
368,0,0,0,0.271395
369,0,0,0,0.239555
370,0,0,0,0.213509
371,0,0,0,0.192162
372,0,0,0,0.174852
373,0,0,0,0.16079
374,0,0,0,0.148982
375,0,0,0,0.138772
376,0,0,0,0.129846
377,0,0,0,0.122372
378,0,0,0,0.116159
379,0,0,0,0.110889
380,0,0,0,0.106614
381,0,0,0,0.103426
382,0,0,0,0.101215
383,0,0,0,0.100095
384,0,0,0,0.10056
385,0,0,0,0.102824
386,0,0,0,0.106655
387,0,0,0,0.11212
388,0,0,0,0.119551
389,0,0,0,0.12974
390,0,0,0,0.143793
391,0,0,0,0.162554
392,0,0,0,0.187612
393,0,0,0,0.22071
394,0,0,0,0.264166
395,0,0,0,0.322708
396,0,0,0,0.401584
397,0,0,0,0.507342
398,0,0,0,0.649617
399,0,0,0,0.841454
400,0,0,0,1.09904
401,0,0,0,1.43719
402,0,0,0,1.87474
403,0,0,0,2.43631
404,0,0,0,3.13756
405,0,0,0,3.99747
406,0,0,0,5.02113
407,0,0,0,6.17893
408,0,0,0,7.43615
409,0,0,0,8.73772
410,0,0,0,10.0072
411,0,0,0,11.1398
412,0,0,0,12.0697
413,0,0,0,12.7639
414,0,0,0,13.1761
415,0,0,0,13.2974
416,0,0,0,13.1424
417,0,0,0,12.7345
418,0,0,0,12.1033
419,0,0,0,11.2991
420,0,0,0,10.3741
421,0,0,0,9.36328
422,0,0,0,8.30669
423,0,0,0,7.25029
424,0,0,0,6.23016
425,0,0,0,5.28073
426,0,0,0,4.42707
427,0,0,0,3.67669
428,0,0,0,3.02875
429,0,0,0,2.48032
430,0,0,0,2.02289
431,0,0,0,1.64561
432,0,0,0,1.33821
433,0,0,0,1.08988
434,0,0,0,0.891007
435,0,0,0,0.732282
436,0,0,0,0.605416
437,0,0,0,0.504221
438,0,0,0,0.423822
439,0,0,0,0.360072
440,0,0,0,0.309508
441,0,0,0,0.269382
442,0,0,0,0.237391
443,0,0,0,0.211899
444,0,0,0,0.191261
445,0,0,0,0.174081
446,0,0,0,0.159619
447,0,0,0,0.147557
448,0,0,0,0.137476
449,0,0,0,0.128881
450,0,0,0,0.121616
451,0,0,0,0.115712
452,0,0,0,0.110969
453,0,0,0,0.107175
454,0,0,0,0.104248
455,0,0,0,0.102135
456,0,0,0,0.101071
457,0,0,0,0.101124
458,0,0,0,0.102621
459,0,0,0,0.106008
460,0,0,0,0.11136
461,0,0,0,0.119375
462,0,0,0,0.131204
463,0,0,0,0.147393
464,0,0,0,0.168454
465,0,0,0,0.195343
466,0,0,0,0.230159
467,0,0,0,0.276235
468,0,0,0,0.337064
469,0,0,0,0.41734
470,0,0,0,0.523731
471,0,0,0,0.665481
472,0,0,0,0.853225
473,0,0,0,1.10314
474,0,0,0,1.44052
475,0,0,0,1.8901
476,0,0,0,2.47708
477,0,0,0,3.21794
478,0,0,0,4.11434
479,0,0,0,5.15789
480,0,0,0,6.31776
481,0,0,0,7.58229
482,0,0,0,8.90898
483,0,0,0,10.1855
484,0,0,0,11.2986
485,0,0,0,12.177
486,0,0,0,12.7886
487,0,0,0,13.1425
488,0,0,0,13.2323
489,0,0,0,13.0726
490,0,0,0,12.6935
491,0,0,0,12.117
492,0,0,0,11.368
493,0,0,0,10.4684
494,0,0,0,9.45939
495,0,0,0,8.39149
496,0,0,0,7.31352
497,0,0,0,6.27558
498,0,0,0,5.31516
499,0,0,0,4.45164
500,0,0,0,3.6937
501,0,0,0,3.04257
502,0,0,0,2.4933
503,0,0,0,2.03549
504,0,0,0,1.65787
505,0,0,0,1.34984
506,0,0,0,1.09996
507,0,0,0,0.898273
508,0,0,0,0.736548
509,0,0,0,0.607838
510,0,0,0,0.505789
511,0,0,0,0.424812
512,0,0,0,0.360464
513,0,0,0,0.308952
514,0,0,0,0.267872
515,0,0,0,0.235503
516,0,0,0,0.209938
517,0,0,0,0.189413
518,0,0,0,0.172805
519,0,0,0,0.159147
520,0,0,0,0.147704
521,0,0,0,0.137932
522,0,0,0,0.129501
523,0,0,0,0.122364
524,0,0,0,0.116579
525,0,0,0,0.111908
526,0,0,0,0.108104
527,0,0,0,0.105205
528,0,0,0,0.103203
529,0,0,0,0.102225
530,0,0,0,0.102514
531,0,0,0,0.104353
532,0,0,0,0.108033
533,0,0,0,0.113561
534,0,0,0,0.121155
535,0,0,0,0.1316
536,0,0,0,0.145868
537,0,0,0,0.164364
538,0,0,0,0.188891
539,0,0,0,0.22391
540,0,0,0,0.27237
541,0,0,0,0.33495
542,0,0,0,0.41454
543,0,0,0,0.518454
544,0,0,0,0.658327
545,0,0,0,0.848552
546,0,0,0,1.10324
547,0,0,0,1.44173
548,0,0,0,1.88329
549,0,0,0,2.44503
550,0,0,0,3.1536
551,0,0,0,4.02022
552,0,0,0,5.0389
553,0,0,0,6.18532
554,0,0,0,7.44318
555,0,0,0,8.75376
556,0,0,0,10.0247
557,0,0,0,11.1791
558,0,0,0,12.1327
559,0,0,0,12.8345
560,0,0,0,13.2364
561,0,0,0,13.3482
562,0,0,0,13.2032
563,0,0,0,12.8218
564,0,0,0,12.2191
565,0,0,0,11.4201
566,0,0,0,10.482
567,0,0,0,9.44901
568,0,0,0,8.36966
569,0,0,0,7.29467
570,0,0,0,6.263
571,0,0,0,5.30668
572,0,0,0,4.44626
573,0,0,0,3.69084
574,0,0,0,3.04279
575,0,0,0,2.49439
576,0,0,0,2.03473
577,0,0,0,1.65505
578,0,0,0,1.34549
579,0,0,0,1.09565
580,0,0,0,0.895055
581,0,0,0,0.734413
582,0,0,0,0.606372
583,0,0,0,0.504215
584,0,0,0,0.422898
585,0,0,0,0.358447
586,0,0,0,0.307691
587,0,0,0,0.267888
588,0,0,0,0.23639
589,0,0,0,0.211446
590,0,0,0,0.191496
591,0,0,0,0.175125
592,0,0,0,0.161595
593,0,0,0,0.150338
594,0,0,0,0.14065
595,0,0,0,0.132133
596,0,0,0,0.124516
597,0,0,0,0.117812
598,0,0,0,0.112283
599,0,0,0,0.107984
600,0,0,0,0.104809
601,0,0,0,0.102623
602,0,0,0,0.101417
603,0,0,0,0.101522
604,0,0,0,0.103345
605,0,0,0,0.107228
606,0,0,0,0.113272
607,0,0,0,0.121379
608,0,0,0,0.131993
609,0,0,0,0.146281
610,0,0,0,0.165514
611,0,0,0,0.190727
612,0,0,0,0.223788
613,0,0,0,0.267512
614,0,0,0,0.326919
615,0,0,0,0.407208
616,0,0,0,0.51439
617,0,0,0,0.657648
618,0,0,0,0.849918
619,0,0,0,1.10727
620,0,0,0,1.44325
621,0,0,0,1.88127
622,0,0,0,2.44335
623,0,0,0,3.14822
624,0,0,0,4.01887
625,0,0,0,5.06336
626,0,0,0,6.2615
627,0,0,0,7.55174
628,0,0,0,8.84932
629,0,0,0,10.0738
630,0,0,0,11.1613
631,0,0,0,12.0533
632,0,0,0,12.7049
633,0,0,0,13.0936
634,0,0,0,13.2131
635,0,0,0,13.0646
636,0,0,0,12.6687
637,0,0,0,12.0596
638,0,0,0,11.2748
639,0,0,0,10.3608
640,0,0,0,9.36235
641,0,0,0,8.31849
642,0,0,0,7.27059
643,0,0,0,6.25393
644,0,0,0,5.30239
645,0,0,0,4.44172
646,0,0,0,3.68422
647,0,0,0,3.03256
648,0,0,0,2.48275
649,0,0,0,2.02499
650,0,0,0,1.64856
651,0,0,0,1.3423
652,0,0,0,1.09484
653,0,0,0,0.895835
654,0,0,0,0.736305
655,0,0,0,0.608899
656,0,0,0,0.507753
657,0,0,0,0.42763
658,0,0,0,0.363779
659,0,0,0,0.312756
660,0,0,0,0.27195
661,0,0,0,0.239518
662,0,0,0,0.213536
663,0,0,0,0.192614
664,0,0,0,0.175545
665,0,0,0,0.161481
666,0,0,0,0.149663
667,0,0,0,0.1397
668,0,0,0,0.13126
669,0,0,0,0.124081
670,0,0,0,0.117862
671,0,0,0,0.112694
672,0,0,0,0.108808
673,0,0,0,0.106278
674,0,0,0,0.104626
675,0,0,0,0.103553
676,0,0,0,0.103424
677,0,0,0,0.104725
678,0,0,0,0.107892
679,0,0,0,0.113239
680,0,0,0,0.121113
681,0,0,0,0.131688
682,0,0,0,0.146078
683,0,0,0,0.166254
684,0,0,0,0.193682
685,0,0,0,0.229641
686,0,0,0,0.275799
687,0,0,0,0.337001
688,0,0,0,0.419379
689,0,0,0,0.530737
690,0,0,0,0.679177
691,0,0,0,0.874168
692,0,0,0,1.12839
693,0,0,0,1.46045
694,0,0,0,1.89748
695,0,0,0,2.46071
696,0,0,0,3.1799
697,0,0,0,4.07557
698,0,0,0,5.13791
699,0,0,0,6.34447
700,0,0,0,7.63676
701,0,0,0,8.94676
702,0,0,0,10.2108
703,0,0,0,11.3577
704,0,0,0,12.3009
705,0,0,0,12.9751
706,0,0,0,13.3745
707,0,0,0,13.4794
708,0,0,0,13.3028
709,0,0,0,12.8902
710,0,0,0,12.2663
711,0,0,0,11.4655
712,0,0,0,10.5218
713,0,0,0,9.48893
714,0,0,0,8.41291
715,0,0,0,7.33834
716,0,0,0,6.30499
717,0,0,0,5.34494
718,0,0,0,4.48094
719,0,0,0,3.72115
720,0,0,0,3.0658
721,0,0,0,2.51095
722,0,0,0,2.04743
723,0,0,0,1.66516
724,0,0,0,1.35331
725,0,0,0,1.1012
726,0,0,0,0.898684
727,0,0,0,0.736896
728,0,0,0,0.608104
729,0,0,0,0.506168
730,0,0,0,0.425954
731,0,0,0,0.362631
732,0,0,0,0.312271
733,0,0,0,0.272226
734,0,0,0,0.24023
735,0,0,0,0.214528
736,0,0,0,0.193743
737,0,0,0,0.176681
738,0,0,0,0.162396
739,0,0,0,0.150132
740,0,0,0,0.139415
741,0,0,0,0.130285
742,0,0,0,0.122574
743,0,0,0,0.116045
744,0,0,0,0.110704
745,0,0,0,0.10663
746,0,0,0,0.103713
747,0,0,0,0.101722
748,0,0,0,0.100709
749,0,0,0,0.100987
750,0,0,0,0.10284
751,0,0,0,0.10655
752,0,0,0,0.112366
753,0,0,0,0.120596
754,0,0,0,0.131554
755,0,0,0,0.146136
756,0,0,0,0.165318
757,0,0,0,0.19018
758,0,0,0,0.222203
759,0,0,0,0.264831
760,0,0,0,0.323619
761,0,0,0,0.403902
762,0,0,0,0.511676
763,0,0,0,0.655757
764,0,0,0,0.847859
765,0,0,0,1.10217
766,0,0,0,1.44499
767,0,0,0,1.89321
768,0,0,0,2.46169
769,0,0,0,3.17473
770,0,0,0,4.03736
771,0,0,0,5.05083
772,0,0,0,6.19904
773,0,0,0,7.43718
774,0,0,0,8.71579
775,0,0,0,9.97122
776,0,0,0,11.1185
777,0,0,0,12.0634
778,0,0,0,12.7442
779,0,0,0,13.1471
780,0,0,0,13.2745
781,0,0,0,13.1409
782,0,0,0,12.7595
783,0,0,0,12.1454
784,0,0,0,11.3519
785,0,0,0,10.427
786,0,0,0,9.41143
787,0,0,0,8.34758
788,0,0,0,7.28016
789,0,0,0,6.25684
790,0,0,0,5.30562
791,0,0,0,4.45002
792,0,0,0,3.6975
793,0,0,0,3.04593
794,0,0,0,2.49319
795,0,0,0,2.03266
796,0,0,0,1.65433
797,0,0,0,1.34624
798,0,0,0,1.09698
799,0,0,0,0.895728
800,0,0,0,0.734854
801,0,0,0,0.606768
802,0,0,0,0.504997
803,0,0,0,0.424263
804,0,0,0,0.360341
805,0,0,0,0.309914
806,0,0,0,0.26993
807,0,0,0,0.238178
808,0,0,0,0.212594
809,0,0,0,0.191699
810,0,0,0,0.174707
811,0,0,0,0.160894
812,0,0,0,0.149345
813,0,0,0,0.139341
814,0,0,0,0.130641
815,0,0,0,0.123272
816,0,0,0,0.117069
817,0,0,0,0.111745
818,0,0,0,0.107374
819,0,0,0,0.104237
820,0,0,0,0.102424
821,0,0,0,0.101931
822,0,0,0,0.102686
823,0,0,0,0.10462
824,0,0,0,0.10827
825,0,0,0,0.113715
826,0,0,0,0.121286
827,0,0,0,0.131871
828,0,0,0,0.14642
829,0,0,0,0.165902
830,0,0,0,0.191546
831,0,0,0,0.225244
832,0,0,0,0.269965
833,0,0,0,0.330298
834,0,0,0,0.40984
835,0,0,0,0.513722
836,0,0,0,0.653312
837,0,0,0,0.842671
838,0,0,0,1.09626
839,0,0,0,1.43571
840,0,0,0,1.87418
841,0,0,0,2.43002
842,0,0,0,3.14295
843,0,0,0,4.02204
844,0,0,0,5.06507
845,0,0,0,6.2575
846,0,0,0,7.54216
847,0,0,0,8.8429
848,0,0,0,10.0743
849,0,0,0,11.1746
850,0,0,0,12.0915
851,0,0,0,12.7561
852,0,0,0,13.1419
853,0,0,0,13.2427
854,0,0,0,13.0714
855,0,0,0,12.6693
856,0,0,0,12.093
857,0,0,0,11.3486
858,0,0,0,10.4482
859,0,0,0,9.44218
860,0,0,0,8.38256
861,0,0,0,7.31716
862,0,0,0,6.29139
863,0,0,0,5.33485
864,0,0,0,4.4653
865,0,0,0,3.69874
866,0,0,0,3.04137
867,0,0,0,2.48731
868,0,0,0,2.02658
869,0,0,0,1.6486
870,0,0,0,1.34234
871,0,0,0,1.0957
872,0,0,0,0.897581
873,0,0,0,0.738841
874,0,0,0,0.611418
875,0,0,0,0.509351
876,0,0,0,0.427608
877,0,0,0,0.362718
878,0,0,0,0.31173
879,0,0,0,0.27164
880,0,0,0,0.239673
881,0,0,0,0.213924
882,0,0,0,0.192896
883,0,0,0,0.175584
884,0,0,0,0.161366
885,0,0,0,0.149644
886,0,0,0,0.139807
887,0,0,0,0.13119
888,0,0,0,0.123666
